name,form,url,artists,status
Teddiursa,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/216Teddiursa.png,Aquakip,done
Ursaring,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/217Ursaring.png,Alchemator|Scepticallistic,done
Slugma,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/218Slugma.png,Sleet,done
Magcargo,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/219Magcargo.png,Sleet,done
Swinub,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/220Swinub.png,Sleet,done
Piloswine,,,,
Corsola,,,Mektar,reserved
Remoraid,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/223Remoraid.png,Sleet,done
Octillery,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/224Octillery.png,Sleet,done
Delibird,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/225Delibird.png,Arch,done
Mantine,,,,
Skarmory,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/227Skarmory.png,Arch|Scepticallistic,done
Houndour,,,,
Houndoom,,,,
Kingdra,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/230Kingdra.png,blakkmajyk,done
Phanpy,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/231Phanpy.png,Nopie,done
Donphan,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/232Donphan.png,Nopie|Wizwum,done
Porygon2,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/233Porygon2.png,Tayla|Scepticallistic,done
Stantler,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/234Stantler.png,Sleet|Scepticallistic,done
Smeargle,,,,
Tyrogue,,,,
Hitmontop,,,,
Smoochum,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/238Smoochum.png,Sleet,done
Elekid,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/239Elekid.png,Nopie,done
Magby,,,,
Miltank,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/241Miltank.png,Darkanine|Wizwum|Scepticallistic,done
Blissey,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/242Blissey.png,MrBlack|Scepticallistic,done
Raikou,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/243Raikou.png,Legacy Raider|aXl,done
Entei,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/244Entei.png,Scepticallistic,done
Suicune,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/245Suicune.png,Scepticallistic,done
Larvitar,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/246Larvitar.png,Scepticallistic,done
